"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"2-phosphoglycerate","2-Phosphoglyceric acid","HMDB0000362","59","24344",NA,"5351","OCC(OP(O)(O)=O)C(O)=O","1"
"OH-phenylpyruvate","4-Hydroxyphenylpyruvic acid","HMDB0000707","979","15999","C01179","5675","OC(=O)C(=O)CC1=CC=C(O)C=C1","1"
"aminoisobutyrate","(R)-beta-Aminoisobutyric acid","HMDB0002299","5459822","16320","C01205","6599","C[C@H](CN)C(O)=O","1"
"3-hydroxyanthranilate","3-Hydroxyanthranilic acid","HMDB0001476","86","15793","C00632","3275","NC1=C(O)C=CC=C1C(O)=O","1"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB0000807","724","17050","C00597","150","OC(COP(O)(O)=O)C(O)=O","1"
"GABA","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"4-hydroxybenzoate","4-hydroxybenzoate","HMDB0304180","105001","17879",NA,NA,"OC1=CC=C(C=C1)C([O-])=O","1"
"cis-hydroxyproline/trans-hydroxyproline","NA","NA","NA","NA","NA","NA","NA","0"
"4-pyridoxate","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"5-HIAA","5-Hydroxyindoleacetic acid","HMDB0000763","1826","27823","C05635","2975","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"acetoacetate","acetoacetate","HMDB0304256","6971017","13705",NA,NA,"CC(=O)CC([O-])=O","1"
"adenine","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"adenosine","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"5'-adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","16680","C00021","296","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"alpha-ketoglutarate","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"AMP","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"anthranilate","2-Aminobenzoic acid","HMDB0001123","227","30754","C00108","6018","NC1=CC=CC=C1C(O)=O","1"
"arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"ascorbate","Ascorbate",NA,"3372","29073 38290","C00072",NA,NA,"1"
"asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"aspartate","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"bilirubin","Bilirubin","HMDB0000054","5280352","16990","C00486","81","CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1","1"
"N-carbamoyl-beta-alanine","Ureidopropionic acid","HMDB0000026","111","18261","C02642","5097","NC(=O)NCCC(O)=O","1"
"carnosine","Carnosine","HMDB0000033","439224","15727","C00386","38","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"choline","Choline","HMDB0000097","305","15354","C00114","56","C[N+](C)(C)CCO","1"
"phosphocholine","Phosphorylcholine","HMDB0001565","1014","18132","C00588","6326","C[N+](C)(C)CCOP(O)(O)=O","1"
"citrate","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"CMP","Cytidine monophosphate","HMDB0000095","6131","17361","C00055","5143","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"carnitine","L-Carnitine","HMDB0000062","10917","16347","C00487","52","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"cystathionine","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"cytidine","Cytidine","HMDB0000089","6175","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"2'-deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","17256","C00559","3382","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"dCMP","dCMP","HMDB0001202","13945","15918","C00239","6078","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"2'-deoxycytidine","Deoxycytidine","HMDB0000014","13711","15698","C00881","3367","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"DHAP","Dihydroxyacetone phosphate","HMDB0001473","668","16108","C00111","6262","OCC(=O)COP(O)(O)=O","1"
"dimethylglycine","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"2'-deoxyuridine","Deoxyuridine","HMDB0000012","13712","16450","C00526","5086","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"folate","Folic acid","HMDB0000121","6037","27470","C00504","246","NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1","1"
"fumarate","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"alpha-glycerophosphocholine","NA","NA","NA","NA","NA","NA","NA","0"
